,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total,before_Heidenheim WA,before_Vancouver WA,before_Budapest GP,in_match
108,ZHUMABAI UULU Daanysh...,KGZ,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.375,0.0,0.375,16.75,15.75,16.375,16.375,False
109,BELLMANN Lukas,GER,0.0,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,1.0,1.5,16.5,12.5,14.0,15.0,False
110,BRINCK-CROTEAU Maxime,CAN,0.0,,0.0,0.75,0.0,0.0,0.0,0.0,12.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,1.5,0.25,0.0,16.5,14.5,16.25,16.5,False
111,ROBL Troels Christian,DEN,0.0,,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,15.625,10.625,11.625,12.625,False
112,SONG Jae Ho,KOR,30.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,8.0,6.0,15.5,0.5,1.5,9.5,True
113,TYCHLER Pavel,RSA,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,15.25,14.5,15.25,15.25,False
114,MARSH Philip,GBR,0.0,,2.0,1.5,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,15.25,14.5,14.5,14.5,False
115,EL HAOUARI Abdelkarim,MAR,0.0,,0.25,0.0,0.0,0.0,0.0,12.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.25,0.375,15.125,13.75,14.5,14.75,False
116,BONNAIRE Jonathan,FRA,28.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,1.5,14.5,0.0,5.0,13.0,True
117,NURMATOV Javokhirbek,UZB,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,14.5,14.5,14.5,False
118,DERYABIN Ivan,KAZ,0.0,,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.375,14.375,8.0,14.0,14.0,False
119,CORRENTI Baptiste,FRA,26.0,R,0.5,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.25,2.25,2.25,2.25,True
120,HENRIQUEZ ORTIZ Reynier,CUB,0.0,,2.0,3.0,0.5,0.0,0.0,0.0,6.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,14.25,14.25,14.25,14.25,False
121,FABREGAT Angel,ESP,0.0,,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.25,3.0,14.0,9.75,10.75,11.0,False
122,KOSTKA Karol,POL,0.0,,0.5,6.0,2.0,0.0,3.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,13.75,13.0,13.0,13.0,False
123,NYCZ Mateusz,POL,0.0,,0.0,0.0,0.5,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3.0,0.0,0.75,13.75,9.5,13.0,13.0,False
124,SANER Harry,RSA,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,13.625,12.625,13.625,13.625,False
125,ALLEGRE Paul,FRA,0.0,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3.0,13.5,7.0,8.5,10.5,False
126,CAMPOS ZARATE Andres F...,COL,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,12.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,13.375,13.125,13.375,13.375,False
127,SOMFAI Peter,HUN,0.0,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,3.0,13.25,10.0,10.25,10.25,False
128,PAOLINI Giacomo,ITA,22.0,R,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,13.0,2.0,10.0,10.0,True
129,DIABATE Keletigui Julien,MLI,0.0,,0.0,0.0,0.25,0.0,0.0,12.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.875,12.875,12.875,12.875,False
130,MAISONET Hector,PUR,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.375,0.0,0.0,12.625,12.25,12.625,12.625,False
131,CORDEIRO Joao,POR,0.0,,0.0,1.5,2.0,0.0,6.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,12.25,12.25,12.25,12.25,False
132,ALGADI Abubaker Reda,LBA,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,False
133,LUGO Grabiel,VEN,0.0,,1.0,0.0,0.25,0.0,0.0,0.0,6.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,1.5,11.875,7.875,10.375,10.375,False
134,NIGGELER Michele,SUI,28.0,R,2.0,1.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.375,11.625,8.5,9.25,11.25,True
135,BRUEV Georgiy,RUS,0.0,,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5,0.0,11.5,8.0,11.0,11.5,False
136,BUZZI Lorenzo,ITA,0.0,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.5,11.5,7.0,10.0,10.0,False
137,SOKOLOV Oleg,UZB,0.0,,0.0,0.0,0.25,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,11.25,11.25,11.25,False
138,HADZIC Alen,USA,28.0,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,11.0,4.0,9.0,11.0,True
139,NG Ho Tin,HKG,0.0,,0.0,1.5,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.375,10.875,9.75,10.25,10.5,False
140,BANYAI Zsombor,HUN,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.5,10.5,6.0,9.0,9.0,False
141,SALM Juri,EST,0.0,,0.0,1.5,0.0,0.0,3.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,10.25,10.0,10.25,10.25,False
142,RUBES Martin,CZE,0.0,,2.0,0.0,2.0,0.0,1.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,10.0,9.0,9.5,10.0,False
143,SAKAMOTO Keisuke,JPN,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,False
144,SZENYI Peter,HUN,33.0,R,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.375,9.625,1.25,9.25,9.25,True
145,ITO Inochi,JPN,0.0,,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,9.5,3.5,4.5,6.5,False
146,SCHWANTES Athos,BRA,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,9.375,9.0,9.0,9.0,False
147,RAMIREZ Yeisser,USA,33.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.375,0.0,3.0,9.375,4.0,6.375,6.375,True
148,BRUNOLD Bruce,SUI,28.0,L,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.75,9.0,0.25,6.25,8.25,True
149,LAI Clarence Ka Tsun,HKG,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.5,9.0,7.5,7.5,7.5,False
150,GONZALEZ Rodrigo,CHI,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.0,6.0,False
151,BODOCZI Nikolaus,GER,0.0,,0.0,0.75,2.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,1.5,8.875,6.375,7.375,7.375,False
152,PATTERSON Luis Enrique,CUB,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,6.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,8.75,8.75,8.75,False
153,JOSHUA KOH I-Jie,MAS,0.0,,0.0,0.0,0.25,6.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.375,8.625,7.5,8.25,8.25,False
154,ENGLISH Alexander,AUS,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,8.5,6.0,8.5,8.5,False
155,GUSEV Dmitriy,RUS,26.0,L,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.0,3.0,8.5,3.0,4.5,5.5,True
156,LAZAROTO Fabrizio,BRA,0.0,,0.0,0.75,0.25,0.0,0.0,0.0,6.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.5,8.25,8.5,8.5,False
157,AREDE Pedro,POR,0.0,,0.0,0.75,0.25,0.0,6.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,8.25,8.25,8.25,False
158,TURNAU Peeter,EST,0.0,,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,8.0,5.5,7.0,8.0,False
159,TACCANI Alessandro,ARG,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,6.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,8.0,7.75,7.75,8.0,False
160,HERZBERG Fabian,GER,32.0,R,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3.0,2.0,0.0,8.0,2.5,6.0,8.0,True
161,METRAILLER Clement,SUI,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.0,1.0,0.375,7.875,0.25,6.5,7.5,False
162,LIS Daniel,ISR,31.0,R,2.0,0.0,1.0,0.0,1.5,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,2.0,0.0,7.875,5.625,5.875,7.875,True
163,KUROCHKIN Andrey,RUS,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.75,7.75,6.0,7.0,7.0,False
164,SUKHOV Pavel,RUS,32.0,R,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,1.5,7.75,1.75,4.25,6.25,True
165,TULEN Rafael,NED,0.0,,0.5,0.0,0.25,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.375,2.0,0.0,7.75,5.375,5.75,7.75,False
166,LIU Yongchuang,CHN,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,6.0,1.0,0.0,7.75,0.25,6.75,7.75,False
167,TYMOSHENKO Ruslan,UKR,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,3.0,0.0,3.0,7.75,1.5,4.75,4.75,False
168,KONGSTAD Conrad Seibaek,DEN,23.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.0,4.0,0.375,7.625,0.0,3.25,7.25,True
169,SVENSSON Jonathan,SWE,21.0,R,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,3.0,7.5,2.5,4.5,4.5,True
170,DORATI AMEGLIO Arturo Is...,PAN,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,7.5,False
171,POKORNY Richard,CZE,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,7.25,4.5,6.25,7.25,False
172,SON Minseong,KOR,0.0,,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.25,1.25,7.25,7.25,False
173,LUBIENIECKI Wojciech,POL,20.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.0,0.0,3.0,7.25,0.25,4.25,4.25,True
174,WRIGHT John,CAN,0.0,,1.0,0.0,0.25,0.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,7.25,7.0,7.25,7.25,False
175,OJEDA BUITRAGO Daniel,CRC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
176,PIZZO Paolo,ITA,0.0,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
177,GRUNHAUSER Richard,BRA,0.0,,0.25,0.75,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
178,NOVOSJOLOV Nikolai,EST,0.0,,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
179,KUHN Georg,SUI,27.0,R,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,1.0,0.0,7.0,2.5,6.0,7.0,True
180,FARDZINOV Alan,RUS,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,3.0,6.75,2.25,2.75,3.75,False
181,ESKOV Ruslan,EST,0.0,,0.0,0.0,0.5,0.0,3.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.375,6.625,6.0,6.25,6.25,False
182,BUHDEIMA Khaled,LBA,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.625,6.625,6.625,6.625,False
183,FRENCH Dylan,CAN,23.0,R,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.25,0.0,6.5,4.25,6.25,6.5,True
184,DABIJA Adrian,ROU,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.75,0.0,0.75,6.375,3.875,5.625,5.625,False
185,BIABIANY Mathias,FRA,25.0,L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.375,0.5,0.0,6.375,1.5,5.875,6.375,True
186,PETROV Roman,KGZ,0.0,,0.0,0.0,0.25,3.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.375,6.375,5.75,6.0,6.0,False
187,ALEKSANDROV Roman,UZB,0.0,,0.0,0.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,6.25,6.25,False
188,LOPEZ POURTIER Nelson,FRA,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.25,0.25,0.25,0.25,False
189,DORIGO Clement,FRA,0.0,,0.5,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,6.25,6.25,6.25,6.25,False
190,GROVER Elliott,GBR,0.0,,4.0,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,6.125,5.75,5.75,5.75,False
191,SYCH Yan,UKR,24.0,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,2.0,0.75,6.125,2.0,3.375,5.375,True
192,ADAIKIN Dmitriy,KAZ,0.0,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,6.0,5.25,6.0,6.0,False
193,ABUJTELA Abdussalam,LBA,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
194,RAMI Aissam,MAR,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
195,ESMAEILI Mohammad,IRI,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
196,QUIROS Jose,PAN,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
197,LEE Simon Renjie,SGP,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.5,5.875,3.625,4.375,4.375,False
198,YU Lefan,CHN,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.75,0.5,0.375,5.875,4.0,5.0,5.5,False
199,SERTAY Yerlik,KAZ,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.75,5.75,2.0,5.0,5.0,False
200,ROD Max,POR,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.375,0.25,0.375,5.75,4.5,5.125,5.375,False
201,SANCHEZ-LETHEM Paul Ja...,GBR,0.0,,0.25,0.75,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.5,0.0,5.75,5.0,5.25,5.75,False
202,GAVALDA Eugeni,ESP,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,4.0,0.375,5.625,1.0,1.25,5.25,False
203,NUOTIO Tatu,FIN,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5.5,5.25,5.5,5.5,False
204,KOMATA Akira,JPN,0.0,,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,2.0,0.75,5.5,1.25,2.75,4.75,False
205,TAURIAINEN Topias,FIN,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,5.25,4.875,4.875,4.875,False
206,SZILAGYI Adrian Ciprian,ROU,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.375,5.25,4.625,4.875,4.875,False
207,PAAVOLAINEN Jaakko,FIN,0.0,,0.0,0.0,0.25,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.125,5.125,5.125,5.125,False
208,ALDAWOOD Jawad,KSA,0.0,,0.0,0.0,0.25,3.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,5.0,4.75,5.0,5.0,False
209,FOUGY Nathan,FRA,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5.0,4.5,5.0,5.0,False
210,BOUILLOT Hippolyte,FRA,0.0,,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,False
211,SCHUMACHER Cooper,USA,0.0,,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.5,0.0,0.0,5.0,3.0,5.0,5.0,False
212,KNYSH Oleg,RUS,22.0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.375,4.875,2.0,4.0,4.5,True
213,UNTERHAUSER Samuel,GER,23.0,L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,2.0,1.5,4.875,0.5,1.375,3.375,True
