,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total,before_Heidenheim WA,before_Vancouver WA,before_Budapest GP,in_match
34,MAHRINGER Josef,AUT,23.0,L,4.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,6.0,47.0,30.0,40.0,41.0,True
35,GUSTIN Ronan,FRA,33.0,R,4.0,6.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,47.0,40.0,40.0,44.0,True
36,VUORINEN Niko,FIN,31.0,L,4.0,6.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,12.0,46.0,27.0,34.0,34.0,True
37,LIMARDO Jesus,VEN,0.0,,0.5,1.5,0.25,0.0,0.0,0.0,39.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,45.0,43.75,43.75,44.25,False
38,BERAN Jiri,CZE,0.0,,4.0,1.5,1.0,0.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,45.0,43.5,45.0,45.0,False
39,VISMARA Federico,ITA,23.0,R,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,44.0,33.0,41.0,41.0,True
40,REYTOR VENET Yunior,CUB,32.0,R,1.0,1.5,0.5,0.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,40.75,38.0,40.75,40.75,True
41,ANDRASFI Tibor,HUN,0.0,,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.5,0.25,3.0,40.75,35.0,37.5,37.75,False
42,ELSAYED Ahmed,EGY,0.0,,0.0,0.0,8.0,0.0,0.0,30.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,40.5,39.5,40.5,40.5,False
43,STANKEVYCH Volodymyr,UKR,25.0,R,0.0,6.0,0.0,0.0,12.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,12.0,39.5,22.5,25.5,27.5,True
44,MOHSEN Mahmoud,EGY,25.0,L,0.0,0.0,0.25,0.0,0.0,30.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,37.75,32.75,34.75,34.75,True
45,LUGONES RUGGERI Jesus Andres,ARG,28.0,R,8.0,3.0,0.0,0.0,0.0,0.0,12.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,2.0,0.0,37.25,32.25,35.25,37.25,True
46,KAULL James,USA,0.0,,1.0,6.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.75,0.0,0.75,36.5,35.0,35.75,35.75,False
47,ANOKHIN Vadim,RUS,28.0,R,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,2.0,0.0,1.0,0.0,36.0,33.0,35.0,36.0,True
48,JURKA Jakub,CZE,21.0,L,0.0,12.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.5,35.5,29.0,32.0,34.0,True
49,ALIMZHANOV Elmir,KAZ,34.0,R,2.0,0.0,1.0,12.0,0.0,0.0,0.0,2.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,12.0,35.0,21.5,23.0,23.0,True
50,CANNONE Romain,FRA,23.0,R,4.0,3.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,4.0,0.0,35.0,28.0,31.0,35.0,True
51,DOMINGUEZ Jose Felix,ARG,0.0,,0.5,0.0,0.25,0.0,0.0,0.0,30.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.375,34.875,33.5,33.5,34.5,False
52,HOYLE Jacob,USA,26.0,L,0.0,3.0,4.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,34.0,24.0,32.0,34.0,True
53,CAPEK Martin,CZE,37.0,R,1.0,0.75,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,33.75,13.75,33.75,33.75,True
54,KOCH Mate Tamas,HUN,21.0,R,0.0,0.0,20.0,0.0,3.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.375,33.625,24.25,29.25,33.25,True
55,VON DER OSTEN Frederik,DEN,27.0,R,0.0,0.0,2.0,0.0,3.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.5,33.5,30.0,32.0,32.0,True
56,PRIINITS Sten,EST,32.0,R,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,33.0,26.0,26.0,30.0,True
57,RODRIGUEZ John Edison,COL,0.0,,0.5,12.0,4.0,0.0,0.0,0.0,12.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,33.0,31.5,33.0,33.0,False
58,JORGENSEN Patrick,DEN,29.0,R,0.0,3.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,4.0,0.0,32.5,27.0,28.5,32.5,True
59,LIMARDO Francisco,VEN,0.0,,2.0,0.0,0.5,0.0,0.0,0.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,1.5,32.25,30.5,30.75,30.75,False
60,KWEON Youngjun,KOR,0.0,,1.0,6.0,8.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,32.0,False
